session_date,rank,symbol
2023-01-11,1,AMZN
2023-01-12,1,AMZN
2023-01-17,1,NVDA
2023-01-20,1,MSFT
2023-01-20,2,AAPL
2023-01-20,3,META
2023-01-20,4,AMZN
2023-01-20,5,NVDA
2023-01-23,1,AMD
2023-01-25,1,MSFT
2023-01-26,1,TSLA
2023-01-26,2,NVDA
2023-01-27,1,META
2023-02-01,1,AMD
2023-02-02,1,META
2023-02-02,2,AMZN
2023-02-02,3,AMD
2023-02-03,1,AAPL
2023-02-03,2,META
2023-02-03,3,AMZN
2023-02-08,1,MSFT
2023-02-17,1,AAPL
2023-02-23,1,NVDA
2023-02-23,2,AMD
2023-02-28,1,META
2023-03-06,1,AAPL
2023-03-07,1,META
2023-03-13,1,AMZN
2023-03-14,1,META
2023-03-14,2,MSFT
2023-03-15,1,MSFT
2023-03-17,1,MSFT
2023-03-17,2,AAPL
2023-03-17,3,AMZN
2023-03-17,4,NVDA
2023-03-17,5,AMD
2023-03-17,6,META
2023-04-03,1,TSLA
2023-04-11,1,MSFT
2023-04-12,1,AMZN
2023-04-18,1,NVDA
2023-04-20,1,TSLA
2023-04-21,1,AMZN
2023-04-21,2,AAPL
2023-04-21,3,MSFT
2023-04-26,1,MSFT
2023-04-26,2,AMD
2023-04-27,1,META
2023-04-28,1,AMZN
2023-04-28,2,META
2023-05-03,1,AMD
2023-05-05,1,AAPL
2023-05-08,1,AAPL
2023-05-12,1,TSLA
2023-05-17,1,AMZN
2023-05-18,1,NVDA
2023-05-19,1,MSFT
2023-05-19,2,AAPL
2023-05-19,3,NVDA
2023-05-19,4,META
2023-05-25,1,NVDA
2023-05-25,2,AMD
2023-05-25,3,MSFT
2023-05-30,1,META
2023-05-30,2,TSLA
2023-05-30,3,MSFT
2023-05-30,4,AMZN
2023-05-30,5,AMD
2023-05-30,6,NVDA
2023-06-01,1,TSLA
2023-06-02,1,AMZN
2023-06-02,2,TSLA
2023-06-05,1,TSLA
2023-06-09,1,TSLA
2023-06-16,1,MSFT
2023-06-16,2,AAPL
2023-06-16,3,META
2023-06-16,4,AMZN
2023-06-16,5,NVDA
2023-07-06,1,META
2023-07-10,1,META
2023-07-12,1,MSFT
2023-07-13,1,AMZN
2023-07-13,2,META
2023-07-14,1,MSFT
2023-07-14,2,NVDA
2023-07-19,1,MSFT
2023-07-21,1,AAPL
2023-07-26,1,MSFT
2023-07-27,1,META
2023-08-02,1,AMD
2023-08-04,1,AMZN
2023-08-07,1,AAPL
2023-08-10,1,NVDA
2023-08-14,1,TSLA
2023-08-15,1,NVDA
2023-08-18,1,META
2023-08-18,2,MSFT
2023-08-18,3,TSLA
2023-08-22,1,TSLA
2023-08-22,2,NVDA
2023-08-24,1,NVDA
2023-08-24,2,AMD
2023-09-07,1,AAPL
2023-09-11,1,TSLA
2023-09-11,2,AMZN
2023-09-11,3,META
2023-09-14,1,MSFT
2023-09-14,2,AMZN
2023-09-15,1,MSFT
2023-09-15,2,AMZN
2023-09-15,3,AAPL
2023-09-15,4,META
2023-09-15,5,AMD
2023-09-18,1,NVDA
2023-09-21,1,AMZN
2023-09-21,2,AMD
2023-09-22,1,META
2023-10-16,1,AAPL
2023-10-17,1,NVDA
2023-10-17,2,AMZN
2023-10-18,1,NVDA
2023-10-19,1,TSLA
2023-10-19,2,AMZN
2023-10-20,1,MSFT
2023-10-20,2,AAPL
2023-10-20,3,AMZN
2023-10-20,4,META
2023-10-20,5,TSLA
2023-10-24,1,AMD
2023-10-25,1,MSFT
2023-10-25,2,META
2023-10-26,1,META
2023-10-26,2,AMZN
2023-10-27,1,AMZN
2023-10-27,2,META
2023-11-01,1,AMD
2023-11-02,1,AMD
2023-11-03,1,AAPL
2023-11-09,1,NVDA
2023-11-14,1,TSLA
2023-11-14,2,AMZN
2023-11-14,3,AMD
2023-11-16,1,AAPL
2023-11-16,2,META
2023-11-17,1,MSFT
2023-11-17,2,AAPL
2023-11-17,3,META
2023-11-17,4,AMZN
2023-11-20,1,MSFT
2023-11-21,1,AMZN
2023-11-22,1,NVDA
2023-11-22,2,AMD
2023-11-29,1,AMD
2023-11-29,2,TSLA
2023-12-04,1,MSFT
2023-12-04,2,META
2023-12-06,1,AMD
2023-12-07,1,AMD
2023-12-08,1,AMD
2023-12-11,1,META
2023-12-11,2,MSFT
2023-12-11,3,AMZN
2023-12-14,1,AMZN
2023-12-15,1,MSFT
2023-12-15,2,AMZN
2023-12-15,3,META
2023-12-15,4,NVDA
2023-12-15,5,AMD
2023-12-15,6,TSLA
2023-12-19,1,NVDA
2024-01-04,1,AMZN
2024-01-09,1,NVDA
2024-01-09,2,AMD
2024-01-10,1,NVDA
2024-01-10,2,META
2024-01-11,1,AMZN
2024-01-11,2,NVDA
2024-01-16,1,AMD
2024-01-16,2,MSFT
2024-01-18,1,AAPL
2024-01-18,2,AMD
2024-01-19,1,AAPL
2024-01-19,2,META
2024-01-19,3,AMD
2024-01-19,4,AMZN
2024-01-19,5,NVDA
2024-01-22,1,AMD
2024-01-22,2,META
2024-01-25,1,TSLA
2024-02-01,1,MSFT
2024-02-02,1,META
2024-02-02,2,AMZN
2024-02-02,3,AAPL
2024-02-05,1,META
2024-02-05,2,NVDA
2024-02-13,1,NVDA
2024-02-22,1,NVDA
2024-02-22,2,AMD
2024-02-23,1,NVDA
2024-03-01,1,AMD
2024-03-04,1,AAPL
2024-03-05,1,AAPL
2024-03-05,2,TSLA
2024-03-06,1,AAPL
2024-03-11,1,NVDA
2024-03-15,1,MSFT
2024-03-15,2,AMZN
2024-03-15,3,AAPL
2024-03-15,4,META
2024-03-15,5,TSLA
2024-03-21,1,AMZN
2024-04-02,1,TSLA
2024-04-04,1,META
2024-04-12,1,AAPL
2024-04-12,2,AMD
2024-04-15,1,AAPL
2024-04-15,2,AMZN
2024-04-16,1,TSLA
2024-04-19,1,MSFT
2024-04-19,2,AMZN
2024-04-19,3,AAPL
2024-04-19,4,META
2024-04-22,1,NVDA
2024-04-22,2,TSLA
2024-04-24,1,TSLA
2024-04-24,2,META
2024-04-25,1,META
2024-04-25,2,MSFT
2024-04-25,3,AMZN
2024-04-26,1,MSFT
2024-04-26,2,META
2024-04-29,1,TSLA
2024-04-29,2,AAPL
2024-05-01,1,AMZN
2024-05-01,2,AMD
2024-05-03,1,AAPL
2024-05-15,1,NVDA
2024-05-16,1,META
2024-05-17,1,MSFT
2024-05-17,2,AMD
2024-05-17,3,META
2024-05-23,1,NVDA
2024-05-23,2,AMD
2024-05-28,1,NVDA
2024-05-30,1,MSFT
2024-06-10,1,NVDA
2024-06-10,2,AMD
2024-06-11,1,NVDA
2024-06-11,2,AAPL
2024-06-12,1,NVDA
2024-06-12,2,AAPL
2024-06-12,3,META
2024-06-13,1,NVDA
2024-06-13,2,TSLA
2024-06-13,3,AAPL
2024-06-14,1,NVDA
2024-06-17,1,NVDA
2024-06-20,1,NVDA
2024-06-20,2,AMZN
2024-06-21,1,MSFT
2024-06-21,2,AMZN
2024-06-21,3,META
2024-06-21,4,NVDA
2024-06-21,5,AAPL
2024-06-21,6,AMD
2024-06-21,7,TSLA
2024-06-24,1,META
2024-06-24,2,NVDA
2024-06-27,1,AMZN
2024-07-02,1,TSLA
2024-07-03,1,TSLA
2024-07-05,1,TSLA
2024-07-08,1,AMD
2024-07-08,2,META
2024-07-10,1,AMD
2024-07-12,1,META
2024-07-15,1,AAPL
2024-07-17,1,META
2024-07-17,2,MSFT
2024-07-18,1,META
2024-07-19,1,MSFT
2024-07-19,2,AMZN
2024-07-19,3,AAPL
2024-07-24,1,TSLA
2024-07-31,1,MSFT
2024-07-31,2,AMD
2024-07-31,3,NVDA
2024-08-01,1,META
2024-08-02,1,AMZN
2024-08-02,2,AAPL
2024-08-02,3,AMD
2024-08-02,4,NVDA
2024-08-05,1,AAPL
2024-08-05,2,NVDA
2024-08-05,3,AMZN
2024-08-05,4,MSFT
2024-08-05,5,META
2024-08-15,1,TSLA
2024-08-16,1,MSFT
2024-08-16,2,META
2024-08-29,1,NVDA
2024-08-29,2,AAPL
2024-09-03,1,NVDA
2024-09-04,1,AMD
2024-09-05,1,TSLA
2024-09-06,1,TSLA
2024-09-13,1,META
2024-09-16,1,AAPL
2024-09-17,1,MSFT
2024-09-19,1,MSFT
2024-09-19,2,META
2024-09-20,1,MSFT
2024-09-20,2,AAPL
2024-09-20,3,AMZN
2024-09-20,4,META
2024-09-20,5,AMD
2024-09-20,6,NVDA
2024-09-20,7,TSLA
2024-09-26,1,AMD
2024-09-26,2,META
2024-10-01,1,META
2024-10-02,1,TSLA
2024-10-04,1,AMD
2024-10-07,1,META
2024-10-07,2,AMD
2024-10-11,1,TSLA
2024-10-15,1,AAPL
2024-10-15,2,AMD
2024-10-17,1,NVDA
2024-10-18,1,AAPL
2024-10-18,2,MSFT
2024-10-18,3,META
2024-10-18,4,AMZN
2024-10-24,1,TSLA
2024-10-25,1,TSLA
2024-10-30,1,AMD
2024-10-30,2,META
2024-10-30,3,AMZN
2024-10-31,1,MSFT
2024-10-31,2,META
2024-11-01,1,AMZN
2024-11-01,2,AAPL
2024-11-01,3,META
2024-11-06,1,TSLA
2024-11-06,2,META
2024-11-06,3,AMZN
2024-11-06,4,AAPL
2024-11-11,1,TSLA
2024-11-15,1,AMZN
2024-11-15,2,MSFT
2024-11-15,3,AAPL
2024-11-15,4,NVDA
2024-11-21,1,NVDA
2024-12-04,1,MSFT
2024-12-05,1,TSLA
2024-12-09,1,AMD
2024-12-09,2,TSLA
2024-12-12,1,MSFT
2024-12-13,1,AMD
2024-12-16,1,AMD
2024-12-17,1,TSLA
2024-12-17,2,NVDA
2024-12-17,3,AMD
2024-12-20,1,MSFT
2024-12-20,2,AAPL
2024-12-20,3,META
2024-12-20,4,AMZN
2024-12-20,5,NVDA
2024-12-20,6,AMD
2024-12-20,7,TSLA
2025-01-06,1,NVDA
2025-01-08,1,AMD
2025-01-10,1,AMD
2025-01-14,1,META
2025-01-15,1,META
2025-01-17,1,MSFT
2025-01-17,2,AAPL
2025-01-17,3,AMZN
2025-01-17,4,META
2025-01-17,5,NVDA
2025-01-17,6,AMD
2025-01-17,7,TSLA
2025-01-21,1,AAPL
2025-01-21,2,TSLA
2025-01-21,3,AMZN
2025-01-22,1,MSFT
2025-01-24,1,META
2025-01-27,1,NVDA
2025-01-27,2,MSFT
2025-01-27,3,AMZN
2025-01-27,4,META
2025-01-28,1,NVDA
2025-01-28,2,META
2025-01-30,1,MSFT
2025-01-30,2,META
2025-01-30,3,TSLA
2025-02-03,1,NVDA
2025-02-03,2,AMZN
2025-02-05,1,AMD
2025-02-07,1,AMZN
2025-02-11,1,TSLA
2025-02-19,1,META
2025-02-21,1,MSFT
2025-02-21,2,AAPL
2025-02-25,1,MSFT
2025-02-27,1,NVDA
2025-02-28,1,NVDA
2025-02-28,2,TSLA
2025-02-28,3,MSFT
2025-03-04,1,AMZN
2025-03-04,2,NVDA
2025-03-04,3,MSFT
2025-03-04,4,AMD
2025-03-10,1,TSLA
2025-03-11,1,TSLA
2025-03-12,1,TSLA
2025-03-12,2,META
2025-03-17,1,AMD
2025-03-21,1,MSFT
2025-03-21,2,AAPL
2025-03-21,3,AMZN
2025-03-21,4,META
2025-03-21,5,AMD
2025-03-21,6,NVDA
2025-03-21,7,TSLA
2025-03-24,1,TSLA
2025-03-24,2,META
2025-03-25,1,TSLA
2025-03-27,1,AMD
2025-03-31,1,AMZN
2025-03-31,2,MSFT
2025-03-31,3,META
2025-04-03,1,AAPL
2025-04-03,2,META
2025-04-03,3,AMZN
2025-04-03,4,MSFT
2025-04-04,1,AMZN
2025-04-04,2,AAPL
2025-04-04,3,META
2025-04-04,4,NVDA
2025-04-07,1,AAPL
2025-04-07,2,AMD
2025-04-07,3,MSFT
2025-04-07,4,NVDA
2025-04-07,5,AMZN
2025-04-07,6,META
2025-04-08,1,AMD
2025-04-08,2,NVDA
2025-04-08,3,META
2025-04-14,1,AAPL
2025-04-16,1,AMD
2025-04-17,1,MSFT
2025-04-23,1,TSLA
2025-05-01,1,MSFT
2025-05-01,2,META
2025-05-02,1,AAPL
2025-05-02,2,AMZN
2025-05-07,1,AMD
2025-05-08,1,AMD
2025-05-09,1,TSLA
2025-05-12,1,AMZN
2025-05-12,2,AAPL
2025-05-12,3,META
2025-05-12,4,TSLA
2025-05-12,5,AMD
2025-05-12,6,NVDA
2025-05-14,1,AMD
2025-05-14,2,NVDA
2025-05-16,1,AAPL
2025-05-16,2,META
2025-05-16,3,MSFT
2025-05-23,1,AAPL
2025-05-29,1,NVDA
2025-06-05,1,TSLA
2025-06-05,2,AMZN
2025-06-06,1,TSLA
2025-06-09,1,AMD
2025-06-09,2,TSLA
2025-06-13,1,AMD
2025-06-16,1,META
2025-06-16,2,AMD
2025-06-17,1,AMD
2025-06-20,1,AAPL
2025-06-20,2,AMZN
2025-06-20,3,META
2025-06-20,4,NVDA
2025-06-20,5,AMD
2025-06-20,6,TSLA
2025-06-23,1,TSLA
2025-06-23,2,AMD
2025-06-24,1,AMD
2025-06-25,1,NVDA
2025-06-25,2,AMD
2025-06-27,1,AMZN
2025-07-01,1,TSLA
2025-07-01,2,AAPL
2025-07-03,1,AMZN
2025-07-07,1,TSLA
2025-07-10,1,AMD
2025-07-15,1,AMD
2025-07-15,2,NVDA
2025-07-18,1,AAPL
2025-07-18,2,AMZN
2025-07-18,3,META
2025-07-24,1,TSLA
2025-07-29,1,AMD
2025-07-31,1,META
2025-07-31,2,AMZN
2025-08-01,1,AMZN
2025-08-01,2,AAPL
2025-08-06,1,AMD
2025-08-06,2,AAPL
2025-08-07,1,AAPL
2025-08-11,1,TSLA
2025-08-13,1,AMD
2025-08-14,1,AMZN
2025-08-15,1,MSFT
2025-08-15,2,AMZN
2025-08-15,3,AAPL
2025-08-18,1,META
2025-08-28,1,NVDA
2025-09-02,1,META
2025-09-02,2,MSFT
2025-09-03,1,AAPL
2025-09-04,1,AMZN
2025-09-04,2,META
2025-09-05,1,TSLA
2025-09-05,2,AMD
2025-09-05,3,AAPL
2025-09-08,1,TSLA
2025-09-10,1,NVDA
2025-09-10,2,AAPL
2025-09-10,3,MSFT
2025-09-10,4,AMZN
2025-09-10,5,AMD
2025-09-12,1,TSLA
2025-09-15,1,TSLA
2025-09-18,1,AMD
2025-09-19,1,MSFT
2025-09-19,2,AAPL
2025-09-19,3,AMZN
2025-09-19,4,META
2025-09-19,5,NVDA
2025-09-22,1,AAPL
2025-10-01,1,META
2025-10-02,1,AMD
2025-10-06,1,AMD
2025-10-06,2,META
2025-10-07,1,AMD
2025-10-09,1,AMD
2025-10-14,1,AMZN
2025-10-17,1,MSFT
2025-10-17,2,AAPL
2025-10-20,1,AAPL
2025-10-23,1,TSLA
2025-10-24,1,TSLA
2025-10-29,1,NVDA
2025-10-29,2,META
2025-10-29,3,MSFT
2025-10-30,1,META
2025-10-30,2,MSFT
2025-10-30,3,AMZN
2025-10-31,1,AMZN
2025-10-31,2,META
2025-10-31,3,AAPL
2025-11-03,1,AMZN
2025-11-05,1,AMD
2025-11-07,1,TSLA
2025-11-12,1,AMD
2025-11-14,1,TSLA
2025-11-20,1,NVDA
2025-11-21,1,AAPL
2025-11-21,2,MSFT
2025-11-21,3,AMZN
2025-11-21,4,NVDA
2025-11-25,1,NVDA
2025-11-25,2,AMD
2025-12-03,1,MSFT
2025-12-04,1,META
2025-12-15,1,TSLA
2025-12-17,1,TSLA
2025-12-19,1,AAPL
2025-12-19,2,MSFT
2025-12-19,3,AMZN
2025-12-19,4,NVDA
2025-12-19,5,META
2025-12-19,6,AMD
2025-12-19,7,TSLA
2026-01-02,1,AMD
2026-01-07,1,AMD
2026-01-13,1,AMD
2026-01-13,2,META
2026-01-14,1,MSFT
2026-01-15,1,AMD
2026-01-15,2,MSFT
2026-01-15,3,NVDA
2026-01-16,1,MSFT
2026-01-16,2,AAPL
2026-01-16,3,AMZN
2026-01-16,4,META
2026-01-16,5,NVDA
2026-01-16,6,AMD
2026-01-20,1,META
2026-01-20,2,MSFT
2026-01-20,3,AMZN
2026-01-21,1,AMD
2026-01-22,1,META
2026-01-23,1,AMD
2026-01-23,2,NVDA
2026-01-29,1,META
2026-01-29,2,MSFT
2026-01-29,3,TSLA
2026-01-30,1,AAPL
2026-02-04,1,AMD
2026-02-05,1,AMZN
2026-02-06,1,AMZN
2026-02-09,1,AMZN
2026-02-17,1,AMZN
2026-02-23,1,NVDA
2026-02-24,1,AMD
2026-02-25,1,TSLA
2026-02-26,1,NVDA
2026-02-27,1,NVDA
2026-03-06,1,META
2026-03-11,1,TSLA
2026-03-13,1,META
2026-03-16,1,META
2026-03-19,1,TSLA
2026-03-20,1,AAPL
2026-03-20,2,MSFT
2026-03-20,3,AMZN
2026-03-20,4,META
2026-03-20,5,NVDA
2026-03-20,6,TSLA
2026-03-20,7,AMD
2026-03-25,1,AMD
2026-03-31,1,META
2026-04-06,1,AMD
2026-04-08,1,AMZN
2026-04-08,2,TSLA
2026-04-08,3,META
2026-04-14,1,AMZN
2026-04-14,2,MSFT
2026-04-14,3,NVDA
2026-04-16,1,AMD
2026-04-16,2,MSFT
2026-04-16,3,AAPL
2026-04-17,1,AAPL
2026-04-17,2,AMZN
2026-04-17,3,MSFT
2026-04-17,4,NVDA
2026-04-17,5,AMD
2026-04-20,1,AMD
2026-04-23,1,TSLA
2026-04-24,1,AMD
2026-04-28,1,AMD
2026-04-30,1,META
2026-04-30,2,AMZN
2026-04-30,3,MSFT
2026-05-01,1,AAPL
2026-05-06,1,AMD
2026-05-15,1,MSFT
2026-05-15,2,NVDA
2026-05-15,3,AAPL
2026-05-15,4,AMZN
2026-05-21,1,NVDA
2026-05-26,1,MSFT
2026-05-28,1,META
2026-05-29,1,MSFT
2026-06-01,1,MSFT
2026-06-01,2,NVDA
2026-06-01,3,AMZN
2026-06-01,4,META
2026-06-03,1,META
