run_id,symbol,strategy_name,setup_type,entry_timestamp,exit_timestamp,entry_price,exit_price,position_size,stop_loss,take_profit,risk_dollars,reward_dollars,risk_reward,pnl_dollars,pnl_percent,outcome,setup_quality,hold_time_minutes,market_regime,ema_trend,rsi,rvol,atr,vwap_position,spread,volume,entry_reason,exit_reason,config_BUY_START_TIME,config_BUY_END_TIME,config_RSI_MIN,config_RSI_MAX,config_MOMENTUM_RVOL_MIN,config_REQUIRE_BREAKOUT,config_ATR_STOP_MULTIPLE,config_ATR_EXTREME_PERCENT,config_MAX_HOLD_MINUTES,config_MAX_CAPITAL_PER_TRADE,config_MAX_POSITIONS
1,XLF,momentum_breakout_v1,breakout,2026-03-02 15:03:00+00:00,2026-03-02 15:21:00+00:00,51.155565,51.184395,24,51.049862139709475,51.29027572058106,2.536868646972664,3.2330572939453077,1.2744283381811787,0.6919199999999819,0.0005635750479932973,WIN,WORKED_BUT_REVIEW,18.0,BULL_TREND,BULL_STACK,45.90635190987201,1.7897124276804037,0.08013786029052587,0.004570575687920264,0.0,35667.0,momentum breakout,regime flip,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
1,XLU,momentum_breakout_v1,breakout,2026-03-02 15:41:00+00:00,2026-03-02 15:43:00+00:00,47.613795,47.506235000000004,26,47.5515168802014,47.666966239597215,1.6192311147637497,1.382452229527516,0.8537707909159216,-2.7965599999999853,-0.002259009180007589,LOSS,BAD_SETUP_BAD_OUTCOME,2.0,BULL_TREND,BULL_STACK,64.0612089242513,0.971298415817964,0.03848311979860541,0.0015246802914756384,0.0,8550.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
1,XLI,momentum_breakout_v1,breakout,2026-03-02 15:50:00+00:00,2026-03-02 15:52:00+00:00,178.0439775,177.701105,7,177.81456474210194,178.23587051579617,1.6058893052865244,1.3432511105730782,0.8364531142658143,-2.40010749999999,-0.0019257742093522852,LOSS,BAD_SETUP_BAD_OUTCOME,2.0,BULL_TREND,BULL_STACK,62.753531261698605,1.9440770557791835,0.14043525789807898,0.003712955321391415,0.0,13523.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
1,XLU,momentum_breakout_v1,breakout,2026-03-02 16:02:00+00:00,2026-03-02 16:15:00+00:00,47.6488125,47.5612075,26,47.59249896732011,47.69000206535978,1.4641518496770658,1.070928699354269,0.7314328084142869,-2.277729999999906,-0.0018385557877228604,LOSS,BAD_SETUP_BAD_OUTCOME,13.0,BULL_TREND,BULL_STACK,60.5868131617138,0.9420213731126624,0.03250103267988775,0.0021227681963664194,0.0,4932.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
1,XLF,momentum_breakout_v1,breakout,2026-03-02 16:45:00+00:00,2026-03-02 16:53:00+00:00,51.345659999999995,51.24436500000001,24,51.29207757427032,51.375844851459355,1.2859782175121381,0.7244364350246428,0.5633349190207454,-2.4310799999996675,-0.001972805491252545,LOSS,BAD_SETUP_BAD_OUTCOME,8.0,BULL_TREND,BULL_STACK,66.05994624988452,1.2247742703430777,0.027922425729680313,0.005159169258480283,0.0,7820.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
1,XLF,momentum_breakout_v1,breakout,2026-03-03 17:50:00+00:00,2026-03-03 17:53:00+00:00,51.0405075,50.9695025,24,50.987429600965235,51.07014079806953,1.2738695768342723,0.7111991536688151,0.5582982485822727,-1.704119999999989,-0.0013911499606464443,LOSS,BAD_SETUP_BAD_OUTCOME,3.0,BULL_TREND,BULL_STACK,68.92096615053391,4.49441257701296,0.027570399034765273,0.001052773895363586,0.0,26444.0,momentum breakout,regime flip,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
1,XLF,momentum_breakout_v1,breakout,2026-03-03 18:20:00+00:00,2026-03-03 18:22:00+00:00,51.1805775,51.19439,24,51.125098957996194,51.214802084007616,1.331485008091306,0.8213900161828178,0.6168976828062726,0.33150000000000546,0.00026987776759651117,WIN,GOOD_SETUP_GOOD_OUTCOME,2.0,BULL_TREND,BULL_STACK,64.32139679706663,2.987621947154381,0.029901042003803904,0.0037345608930033154,0.0,20166.0,momentum breakout,2R take profit,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
1,XLE,momentum_breakout_v1,breakout,2026-03-03 18:25:00+00:00,2026-03-03 18:27:00+00:00,56.988479999999996,56.881545,21,56.91736431993774,57.045271360124524,1.4934292813073782,1.1926185626150883,0.7985771924674236,-2.245634999999851,-0.0018764318683353706,LOSS,BAD_SETUP_BAD_OUTCOME,2.0,BULL_TREND,BULL_STACK,64.33447328576497,2.216415616354135,0.042635680062258915,0.00331178579719936,0.0,12978.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
1,XLF,momentum_breakout_v1,breakout,2026-03-04 15:23:00+00:00,2026-03-04 15:30:00+00:00,51.5707725,51.45426,24,51.49897292647755,51.63705414704491,1.7231897645387448,1.5907595290778431,0.9231481998174763,-2.796299999999974,-0.002259273893948339,LOSS,BAD_SETUP_BAD_OUTCOME,7.0,BULL_TREND,BULL_STACK,69.36310114393301,1.0400208674914295,0.04602707352244957,0.009546795202078434,0.0,11164.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
1,XLF,momentum_breakout_v1,breakout,2026-03-04 15:55:00+00:00,2026-03-04 16:10:00+00:00,51.555765,51.534220000000005,24,51.49278669302391,51.604426613952185,1.5114793674262046,1.1678787348524224,0.7726726279043582,-0.5170799999999076,-0.00041789700918987724,LOSS,BAD_SETUP_BAD_OUTCOME,15.0,BULL_TREND,BULL_STACK,63.51269696663738,0.8913735807255608,0.03721330697609054,0.008931036101378098,0.0,7725.0,momentum breakout,regime flip,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
1,SPY,momentum_breakout_v1,breakout,2026-03-04 16:33:00+00:00,2026-03-04 16:37:00+00:00,686.0228399999999,684.9773400000001,1,685.3297048526615,686.3805902946768,0.6931351473383529,0.3577502946769755,0.5161335362241272,-1.0454999999997199,-0.0015240017373178423,LOSS,BAD_SETUP_BAD_OUTCOME,4.0,BULL_TREND,BULL_STACK,62.10460307177446,1.4668828559949492,0.3502951473384733,0.007310052681022277,0.0,10223.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
1,SPY,momentum_breakout_v1,breakout,2026-03-04 16:41:00+00:00,2026-03-04 16:50:00+00:00,686.30298,685.327165,1,685.5589164951965,686.7621670096071,0.7440635048035347,0.4591870096070352,0.6171341648160538,-0.9758150000000114,-0.0014218428717882171,LOSS,BAD_SETUP_BAD_OUTCOME,9.0,BULL_TREND,BULL_STACK,61.28426979504587,0.8371464084247333,0.40108350480356253,0.007639620533743019,0.0,6129.0,momentum breakout,regime flip,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
1,SPY,momentum_breakout_v1,breakout,2026-03-04 18:30:00+00:00,2026-03-04 18:46:00+00:00,686.793225,686.07679,1,686.2181990317814,686.9136019364373,0.575025968218597,0.12037693643731018,0.2093417394874047,-0.7164350000000468,-0.0010431596788102369,LOSS,BAD_SETUP_BAD_OUTCOME,16.0,BULL_TREND,BULL_STACK,62.494814365587956,1.1772635777732636,0.2318009682186794,0.007719431191810892,0.0,6375.0,momentum breakout,regime flip,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
1,XLE,momentum_breakout_v1,breakout,2026-03-17 14:32:00+00:00,2026-03-17 14:38:00+00:00,58.86942,58.8555575,21,58.800411061288294,58.91917787742342,1.4491877129457862,1.044915425891908,0.7210352506839106,-0.2911124999998904,-0.00023547879357389256,LOSS,BAD_SETUP_BAD_OUTCOME,6.0,BULL_TREND,BULL_STACK,68.7982217034528,4.41560084773463,0.03958893871170807,0.037912914196664725,0.0,41878.0,momentum breakout,regime flip,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
1,XLE,momentum_breakout_v1,breakout,2026-03-31 14:25:00+00:00,2026-03-31 14:35:00+00:00,62.586277499999994,62.578695,19,62.486914669634324,62.69117066073135,1.8878937769477417,1.992970053895796,1.055657939144191,-0.14406749999982793,-0.00012115275588951498,LOSS,BAD_SETUP_BAD_OUTCOME,10.0,BULL_TREND,BULL_STACK,61.83319312189031,0.9006510119816602,0.06808533036567632,0.07887186720172376,0.0,7111.0,momentum breakout,regime flip,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1
2,XLE,momentum_breakout_v1,breakout,2026-03-02 15:15:00+00:00,2026-03-02 15:17:00+00:00,57.1435575,56.91153,20,56.99028254680374,57.364434906392525,3.065499063925188,4.417548127850495,1.441053491040408,-4.640550000000019,-0.0040604314843366365,LOSS,BAD_SETUP_BAD_OUTCOME,2.0,BULL_TREND,BULL_STACK,57.36958720396519,0.9561115697357621,0.12471745319626312,0.006472582761655745,0.0,20442.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,XLF,momentum_breakout_v1,breakout,2026-03-02 15:03:00+00:00,2026-03-02 15:21:00+00:00,51.155565,51.184395,24,51.049862139709475,51.29027572058106,2.536868646972664,3.2330572939453077,1.2744283381811787,0.6919199999999819,0.0005635750479932973,WIN,WORKED_BUT_REVIEW,18.0,BULL_TREND,BULL_STACK,45.90635190987201,1.7897124276804037,0.08013786029052587,0.004570575687920264,0.0,35667.0,momentum breakout,regime flip,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,XLU,momentum_breakout_v1,breakout,2026-03-02 15:41:00+00:00,2026-03-02 15:43:00+00:00,47.613795,47.506235000000004,26,47.5515168802014,47.666966239597215,1.6192311147637497,1.382452229527516,0.8537707909159216,-2.7965599999999853,-0.002259009180007589,LOSS,BAD_SETUP_BAD_OUTCOME,2.0,BULL_TREND,BULL_STACK,64.0612089242513,0.971298415817964,0.03848311979860541,0.0015246802914756384,0.0,8550.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,XLI,momentum_breakout_v1,breakout,2026-03-02 15:50:00+00:00,2026-03-02 15:52:00+00:00,178.0439775,177.701105,7,177.81456474210194,178.23587051579617,1.6058893052865244,1.3432511105730782,0.8364531142658143,-2.40010749999999,-0.0019257742093522852,LOSS,BAD_SETUP_BAD_OUTCOME,2.0,BULL_TREND,BULL_STACK,62.753531261698605,1.9440770557791835,0.14043525789807898,0.003712955321391415,0.0,13523.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,XLU,momentum_breakout_v1,breakout,2026-03-02 16:02:00+00:00,2026-03-02 16:15:00+00:00,47.6488125,47.5612075,26,47.59249896732011,47.69000206535978,1.4641518496770658,1.070928699354269,0.7314328084142869,-2.277729999999906,-0.0018385557877228604,LOSS,BAD_SETUP_BAD_OUTCOME,13.0,BULL_TREND,BULL_STACK,60.5868131617138,0.9420213731126624,0.03250103267988775,0.0021227681963664194,0.0,4932.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,XLF,momentum_breakout_v1,breakout,2026-03-03 17:50:00+00:00,2026-03-03 17:53:00+00:00,51.0405075,50.9695025,24,50.987429600965235,51.07014079806953,1.2738695768342723,0.7111991536688151,0.5582982485822727,-1.704119999999989,-0.0013911499606464443,LOSS,BAD_SETUP_BAD_OUTCOME,3.0,BULL_TREND,BULL_STACK,68.92096615053391,4.49441257701296,0.027570399034765273,0.001052773895363586,0.0,26444.0,momentum breakout,regime flip,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,XLF,momentum_breakout_v1,breakout,2026-03-03 18:20:00+00:00,2026-03-03 18:22:00+00:00,51.1805775,51.19439,24,51.125098957996194,51.214802084007616,1.331485008091306,0.8213900161828178,0.6168976828062726,0.33150000000000546,0.00026987776759651117,WIN,GOOD_SETUP_GOOD_OUTCOME,2.0,BULL_TREND,BULL_STACK,64.32139679706663,2.987621947154381,0.029901042003803904,0.0037345608930033154,0.0,20166.0,momentum breakout,2R take profit,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,XLE,momentum_breakout_v1,breakout,2026-03-03 18:25:00+00:00,2026-03-03 18:27:00+00:00,56.988479999999996,56.881545,21,56.91736431993774,57.045271360124524,1.4934292813073782,1.1926185626150883,0.7985771924674236,-2.245634999999851,-0.0018764318683353706,LOSS,BAD_SETUP_BAD_OUTCOME,2.0,BULL_TREND,BULL_STACK,64.33447328576497,2.216415616354135,0.042635680062258915,0.00331178579719936,0.0,12978.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,SPY,momentum_breakout_v1,breakout,2026-03-03 18:26:00+00:00,2026-03-03 18:29:00+00:00,680.46006,679.4800900000001,1,679.7374036507936,680.8851926984129,0.7226563492064315,0.4251326984128809,0.5882916532591607,-0.9799699999998666,-0.0014401580013378985,LOSS,BAD_SETUP_BAD_OUTCOME,3.0,BULL_TREND,BULL_STACK,69.96431627011319,1.4264917153529355,0.3825963492064606,8.340859040051835e-05,0.0,7447.0,momentum breakout,lost VWAP,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,XLF,momentum_breakout_v1,breakout,2026-03-04 15:23:00+00:00,2026-03-04 15:30:00+00:00,51.5707725,51.45426,24,51.49897292647755,51.63705414704491,1.7231897645387448,1.5907595290778431,0.9231481998174763,-2.796299999999974,-0.002259273893948339,LOSS,BAD_SETUP_BAD_OUTCOME,7.0,BULL_TREND,BULL_STACK,69.36310114393301,1.0400208674914295,0.04602707352244957,0.009546795202078434,0.0,11164.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,XLF,momentum_breakout_v1,breakout,2026-03-04 15:55:00+00:00,2026-03-04 16:10:00+00:00,51.555765,51.534220000000005,24,51.49278669302391,51.604426613952185,1.5114793674262046,1.1678787348524224,0.7726726279043582,-0.5170799999999076,-0.00041789700918987724,LOSS,BAD_SETUP_BAD_OUTCOME,15.0,BULL_TREND,BULL_STACK,63.51269696663738,0.8913735807255608,0.03721330697609054,0.008931036101378098,0.0,7725.0,momentum breakout,regime flip,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,SPY,momentum_breakout_v1,breakout,2026-03-04 15:58:00+00:00,2026-03-04 16:10:00+00:00,686.172915,684.9123725000001,1,685.4145726297282,686.6608547405436,0.7583423702717482,0.4879397405436521,0.6434293528512739,-1.2605424999999286,-0.0018370624553140933,LOSS,BAD_SETUP_BAD_OUTCOME,12.0,BULL_TREND,BULL_STACK,65.0122811035339,1.5141223218600655,0.4154273702717713,0.007821968726611433,0.0,11279.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,SPY,momentum_breakout_v1,breakout,2026-03-04 16:33:00+00:00,2026-03-04 16:37:00+00:00,686.0228399999999,684.9773400000001,1,685.3297048526615,686.3805902946768,0.6931351473383529,0.3577502946769755,0.5161335362241272,-1.0454999999997199,-0.0015240017373178423,LOSS,BAD_SETUP_BAD_OUTCOME,4.0,BULL_TREND,BULL_STACK,62.10460307177446,1.4668828559949492,0.3502951473384733,0.007310052681022277,0.0,10223.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,SPY,momentum_breakout_v1,breakout,2026-03-04 16:41:00+00:00,2026-03-04 16:50:00+00:00,686.30298,685.327165,1,685.5589164951965,686.7621670096071,0.7440635048035347,0.4591870096070352,0.6171341648160538,-0.9758150000000114,-0.0014218428717882171,LOSS,BAD_SETUP_BAD_OUTCOME,9.0,BULL_TREND,BULL_STACK,61.28426979504587,0.8371464084247333,0.40108350480356253,0.007639620533743019,0.0,6129.0,momentum breakout,regime flip,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,XLE,momentum_breakout_v1,breakout,2026-03-17 14:32:00+00:00,2026-03-17 14:38:00+00:00,58.86942,58.8555575,21,58.800411061288294,58.91917787742342,1.4491877129457862,1.044915425891908,0.7210352506839106,-0.2911124999998904,-0.00023547879357389256,LOSS,BAD_SETUP_BAD_OUTCOME,6.0,BULL_TREND,BULL_STACK,68.7982217034528,4.41560084773463,0.03958893871170807,0.037912914196664725,0.0,41878.0,momentum breakout,regime flip,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
2,XLE,momentum_breakout_v1,breakout,2026-03-31 14:25:00+00:00,2026-03-31 14:35:00+00:00,62.586277499999994,62.578695,19,62.486914669634324,62.69117066073135,1.8878937769477417,1.992970053895796,1.055657939144191,-0.14406749999982793,-0.00012115275588951498,LOSS,BAD_SETUP_BAD_OUTCOME,10.0,BULL_TREND,BULL_STACK,61.83319312189031,0.9006510119816602,0.06808533036567632,0.07887186720172376,0.0,7111.0,momentum breakout,regime flip,09:45,13:30,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2
3,XLI,momentum_breakout_v1,breakout,2026-03-02 15:01:00+00:00,2026-03-02 15:03:00+00:00,177.38865,177.701105,7,177.06159856257617,177.7768028748477,2.2893600619669314,2.717070123933837,1.186825160913934,2.1871849999999995,0.0017614148368568108,WIN,GOOD_SETUP_GOOD_OUTCOME,2.0,BULL_TREND,BULL_STACK,72.93032192678788,1.654607193016765,0.23840143742385705,0.004309731673553424,0.0,9307.0,momentum breakout,2R take profit,09:45,13:30,40.0,80.0,0.8,True,1.0,0.015,60,0.05,1
3,SPY,momentum_breakout_v1,breakout,2026-03-02 15:03:00+00:00,2026-03-02 15:21:00+00:00,684.592125,683.6080250000001,1,683.5417168333827,685.6665663332346,1.0504081666173306,1.0744413332346312,1.022879836030498,-0.9840999999998985,-0.0014374982768022616,LOSS,BAD_SETUP_BAD_OUTCOME,18.0,BULL_TREND,BULL_STACK,74.98516917864829,2.0133057788823967,0.7082831666173431,0.0034211827049030166,0.0,14662.0,momentum breakout,regime flip,09:45,13:30,40.0,80.0,0.8,True,1.0,0.015,60,0.05,1
3,XLU,momentum_breakout_v1,breakout,2026-03-02 15:41:00+00:00,2026-03-02 15:43:00+00:00,47.613795,47.506235000000004,26,47.5515168802014,47.666966239597215,1.6192311147637497,1.382452229527516,0.8537707909159216,-2.7965599999999853,-0.002259009180007589,LOSS,BAD_SETUP_BAD_OUTCOME,2.0,BULL_TREND,BULL_STACK,64.0612089242513,0.971298415817964,0.03848311979860541,0.0015246802914756384,0.0,8550.0,momentum breakout,ATR stop loss,09:45,13:30,40.0,80.0,0.8,True,1.0,0.015,60,0.05,1
